ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-11 11:56:05.374298, init, 
2013-09-11 11:56:05.439008, lstn_init,  1 
2013-09-11 11:56:28.564781, slv, 406c8ffffe15d361(unknown)/01,  0.000331478, -6.442350242,  6.442793000, -6.442020000, 0, -20, D
2013-09-11 11:56:29.064936, slv, 406c8ffffe15d361(unknown)/01,  0.000331609, -6.442350242,  6.442584000, -6.442020000, 0, -21, D
2013-09-11 11:56:29.315000, slv, 406c8ffffe15d361(unknown)/01,  0.000329500, -6.442350242,  6.442597000, -6.442020000, 0, -22, D
2013-09-11 11:56:29.366593, slv, 406c8ffffe15d361(unknown)/01,  0.000329500, -6.442431500,  6.442597000, -6.442102000, 0, -22, S
2013-09-11 11:56:30.367228, slv, 406c8ffffe15d361(unknown)/01,  0.000329500, -6.442476500,  6.442597000, -6.442147000, 0, -22, S
2013-09-11 11:56:30.752366, slv, 406c8ffffe15d361(unknown)/01,  0.000326390, -6.442476500,  6.442602000, -6.442147000, 0, -23, D
2013-09-11 11:56:31.366569, slv, 406c8ffffe15d361(unknown)/01,  0.000326390, -6.442464390,  6.442602000, -6.442138000, 0, -23, S
2013-09-11 11:56:32.127663, slv, 406c8ffffe15d361(unknown)/01,  0.000325560, -6.442464390,  6.442909000, -6.442138000, 0, -24, D
2013-09-11 11:56:32.366541, slv, 406c8ffffe15d361(unknown)/01,  0.000325560, -6.442556560,  6.442909000, -6.442231000, 0, -24, S
2013-09-11 11:56:33.002568, slv, 406c8ffffe15d361(unknown)/01,  0.000326287, -6.442556560,  6.442835000, -6.442231000, 0, -25, D
2013-09-11 11:56:33.315170, slv, 406c8ffffe15d361(unknown)/01,  0.000325823, -6.442556560,  6.442884000, -6.442231000, 0, -26, D
2013-09-11 11:56:33.366107, slv, 406c8ffffe15d361(unknown)/01,  0.000325823, -6.442690823,  6.442884000, -6.442365000, 0, -26, S
2013-09-11 11:56:34.367032, slv, 406c8ffffe15d361(unknown)/01,  0.000325823, -6.442684823,  6.442884000, -6.442359000, 0, -26, S
2013-09-11 11:56:34.939118, slv, 406c8ffffe15d361(unknown)/01,  0.000325653, -6.442684823,  6.442991000, -6.442359000, 0, -27, D
2013-09-11 11:56:35.366324, slv, 406c8ffffe15d361(unknown)/01,  0.000325653, -6.442666653,  6.442991000, -6.442341000, 0, -27, S
2013-09-11 11:56:36.002694, slv, 406c8ffffe15d361(unknown)/01,  0.000326030, -6.442666653,  6.443054000, -6.442341000, 0, -28, D
2013-09-11 11:56:36.366678, slv, 406c8ffffe15d361(unknown)/01,  0.000326030, -6.442788030,  6.443054000, -6.442462000, 0, -28, S
2013-09-11 11:56:37.065247, slv, 406c8ffffe15d361(unknown)/01,  0.000326666, -6.442788030,  6.443127000, -6.442462000, 0, -29, D
2013-09-11 11:56:37.366240, slv, 406c8ffffe15d361(unknown)/01,  0.000326666, -6.442789666,  6.443127000, -6.442463000, 0, -29, S
2013-09-11 11:56:38.366783, slv, 406c8ffffe15d361(unknown)/01,  0.000326666, -6.442893666,  6.443127000, -6.442567000, 0, -29, S
2013-09-11 11:56:38.565280, slv, 406c8ffffe15d361(unknown)/01,  0.000327110, -6.442893666,  6.443262000, -6.442567000, 0, -30, D
2013-09-11 11:56:39.365808, slv, 406c8ffffe15d361(unknown)/01,  0.000327110, -6.442881110,  6.443262000, -6.442554000, 0, -30, S
2013-09-11 11:56:39.439078, slv, 406c8ffffe15d361(unknown)/01,  0.000327630, -6.442881110,  6.443232000, -6.442554000, 0, -31, D
2013-09-11 11:56:40.365810, slv, 406c8ffffe15d361(unknown)/01,  0.000327630, -6.443008630,  6.443232000, -6.442681000, 0, -31, S
2013-09-11 11:56:40.814996, slv, 406c8ffffe15d361(unknown)/01,  0.000327000, -6.443008630,  6.443233000, -6.442681000, 0, -32, D
2013-09-11 11:56:41.365954, slv, 406c8ffffe15d361(unknown)/01,  0.000327000, -6.443025000,  6.443233000, -6.442698000, 0, -32, S
2013-09-11 11:56:42.315296, slv, 406c8ffffe15d361(unknown)/01,  0.000327188, -6.443025000,  6.443479000, -6.442698000, 0, -33, D
2013-09-11 11:56:42.366651, slv, 406c8ffffe15d361(unknown)/01,  0.000327188, -6.443202188,  6.443479000, -6.442875000, 0, -33, S
2013-09-11 11:56:43.002488, slv, 406c8ffffe15d361(unknown)/01,  0.000325983, -6.443202188,  6.443239000, -6.442875000, 0, -34, D
2013-09-11 11:56:43.366024, slv, 406c8ffffe15d361(unknown)/01,  0.000325983, -6.443094983,  6.443239000, -6.442769000, 0, -34, S
2013-09-11 11:56:44.366593, slv, 406c8ffffe15d361(unknown)/01,  0.000325983, -6.443205983,  6.443239000, -6.442880000, 0, -34, S
