ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-26 17:32:17.921936, init, 
2013-09-26 17:32:17.985870, lstn_init,  1 
2013-09-26 17:32:39.567238, slv, 406c8ffffe15d361(unknown)/01,  0.000335648,  62.956568352, -62.956311000,  62.956904000, 0, -19, S
2013-09-26 17:32:40.566898, slv, 406c8ffffe15d361(unknown)/01,  0.000335648,  62.956591352, -62.956311000,  62.956927000, 0, -19, S
2013-09-26 17:32:40.737022, slv, 406c8ffffe15d361(unknown)/01,  0.000335177,  62.956591352, -62.956242000,  62.956927000, 0, -20, D
2013-09-26 17:32:40.799402, slv, 406c8ffffe15d361(unknown)/01,  0.000336335,  62.956591352, -62.956174000,  62.956927000, 0, -21, D
2013-09-26 17:32:41.299391, slv, 406c8ffffe15d361(unknown)/01,  0.000337944,  62.956591352, -62.956193000,  62.956927000, 0, -22, D
2013-09-26 17:32:41.549500, slv, 406c8ffffe15d361(unknown)/01,  0.000339478,  62.956591352, -62.956168000,  62.956927000, 0, -23, D
2013-09-26 17:32:41.567138, slv, 406c8ffffe15d361(unknown)/01,  0.000339478,  62.956495522, -62.956168000,  62.956835000, 0, -23, S
2013-09-26 17:32:42.567015, slv, 406c8ffffe15d361(unknown)/01,  0.000339478,  62.956460522, -62.956168000,  62.956800000, 0, -23, S
2013-09-26 17:32:42.986931, slv, 406c8ffffe15d361(unknown)/01,  0.000340364,  62.956460522, -62.956116000,  62.956800000, 0, -24, D
2013-09-26 17:32:43.566553, slv, 406c8ffffe15d361(unknown)/01,  0.000340364,  62.956483636, -62.956116000,  62.956824000, 0, -24, S
2013-09-26 17:32:45.235884, slv, 406c8ffffe15d361(unknown)/01,  0.000341379,  62.956483636, -62.956045000,  62.956824000, 0, -25, D
2013-09-26 17:32:45.548220, slv, 406c8ffffe15d361(unknown)/01,  0.000341008,  62.956483636, -62.956276000,  62.956824000, 0, -26, D
2013-09-26 17:32:45.566287, slv, 406c8ffffe15d361(unknown)/01,  0.000341008,  62.956488992, -62.956276000,  62.956830000, 0, -26, S
2013-09-26 17:32:46.566955, slv, 406c8ffffe15d361(unknown)/01,  0.000341008,  62.956397992, -62.956276000,  62.956739000, 0, -26, S
2013-09-26 17:32:47.173507, slv, 406c8ffffe15d361(unknown)/01,  0.000340183,  62.956397992, -62.956012000,  62.956739000, 0, -27, D
2013-09-26 17:32:47.566982, slv, 406c8ffffe15d361(unknown)/01,  0.000340183,  62.956342817, -62.956012000,  62.956683000, 0, -27, S
