ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-12 12:12:47.021235, init, 
2013-09-12 12:12:47.086409, lstn_init,  1 
2013-09-12 12:12:59.085927, lstn_init,  1 
2013-09-12 12:13:11.086017, lstn_init,  1 
2013-09-12 12:13:41.947201, slv, 002215fffe2eecc9(unknown)/01,  0.000266943,  10.591644420, -10.591400003,  10.591911363, 0, -19, S
2013-09-12 12:13:42.947171, slv, 002215fffe2eecc9(unknown)/01,  0.000266943,  10.591615875, -10.591400003,  10.591882818, 0, -19, S
2013-09-12 12:13:43.086362, slv, 002215fffe2eecc9(unknown)/01,  0.000264818,  10.591615875, -10.591392977,  10.591882818, 0, -20, D
2013-09-12 12:13:43.148068, slv, 002215fffe2eecc9(unknown)/01,  0.000263585,  10.591615875, -10.591416896,  10.591882818, 0, -21, D
2013-09-12 12:13:43.648993, slv, 002215fffe2eecc9(unknown)/01,  0.000262938,  10.591615875, -10.591351250,  10.591882818, 0, -22, D
2013-09-12 12:13:43.899019, slv, 002215fffe2eecc9(unknown)/01,  0.000263081,  10.591615875, -10.591349366,  10.591882818, 0, -23, D
2013-09-12 12:13:43.947099, slv, 002215fffe2eecc9(unknown)/01,  0.000263081,  10.591598429, -10.591349366,  10.591861510, 0, -23, S
2013-09-12 12:13:44.947138, slv, 002215fffe2eecc9(unknown)/01,  0.000263081,  10.591590848, -10.591349366,  10.591853929, 0, -23, S
2013-09-12 12:13:45.336041, slv, 002215fffe2eecc9(unknown)/01,  0.000263232,  10.591590848, -10.591320473,  10.591853929, 0, -24, D
2013-09-12 12:13:45.947193, slv, 002215fffe2eecc9(unknown)/01,  0.000263232,  10.591621902, -10.591320473,  10.591885134, 0, -24, S
2013-09-12 12:13:46.711459, slv, 002215fffe2eecc9(unknown)/01,  0.000264128,  10.591621902, -10.591275904,  10.591885134, 0, -25, D
2013-09-12 12:13:46.947021, slv, 002215fffe2eecc9(unknown)/01,  0.000264128,  10.591529737, -10.591275904,  10.591793865, 0, -25, S
2013-09-12 12:13:47.586676, slv, 002215fffe2eecc9(unknown)/01,  0.000265434,  10.591529737, -10.591210676,  10.591793865, 0, -26, D
2013-09-12 12:13:47.898923, slv, 002215fffe2eecc9(unknown)/01,  0.000266284,  10.591529737, -10.591223503,  10.591793865, 0, -27, D
2013-09-12 12:13:47.947137, slv, 002215fffe2eecc9(unknown)/01,  0.000266284,  10.591578763, -10.591223503,  10.591845047, 0, -27, S
2013-09-12 12:13:48.947022, slv, 002215fffe2eecc9(unknown)/01,  0.000266284,  10.591523141, -10.591223503,  10.591789425, 0, -27, S
2013-09-12 12:13:49.524235, slv, 002215fffe2eecc9(unknown)/01,  0.000267319,  10.591523141, -10.591178524,  10.591789425, 0, -28, D
2013-09-12 12:13:49.946965, slv, 002215fffe2eecc9(unknown)/01,  0.000267319,  10.591505070, -10.591178524,  10.591772389, 0, -28, S
2013-09-12 12:13:50.585649, slv, 002215fffe2eecc9(unknown)/01,  0.000267549,  10.591505070, -10.591287319,  10.591772389, 0, -29, D
2013-09-12 12:13:50.946955, slv, 002215fffe2eecc9(unknown)/01,  0.000267549,  10.591451924, -10.591287319,  10.591719473, 0, -29, S
2013-09-12 12:13:51.649062, slv, 002215fffe2eecc9(unknown)/01,  0.000266879,  10.591451924, -10.591214639,  10.591719473, 0, -30, D
2013-09-12 12:13:51.946928, slv, 002215fffe2eecc9(unknown)/01,  0.000266879,  10.591470451, -10.591214639,  10.591737330, 0, -30, S
2013-09-12 12:13:52.946916, slv, 002215fffe2eecc9(unknown)/01,  0.000266879,  10.591457202, -10.591214639,  10.591724081, 0, -30, S
2013-09-12 12:13:53.148220, slv, 002215fffe2eecc9(unknown)/01,  0.000267076,  10.591457202, -10.591136852,  10.591724081, 0, -31, D
2013-09-12 12:13:53.946913, slv, 002215fffe2eecc9(unknown)/01,  0.000267076,  10.591426104, -10.591136852,  10.591693180, 0, -31, S
2013-09-12 12:13:54.023191, slv, 002215fffe2eecc9(unknown)/01,  0.000267122,  10.591426104, -10.591206060,  10.591693180, 0, -32, D
2013-09-12 12:13:54.586572, slv, 002215fffe2eecc9(unknown)/01,  0.000266645,  10.591426104, -10.591174704,  10.591693180, 0, -33, D
2013-09-12 12:13:54.946900, slv, 002215fffe2eecc9(unknown)/01,  0.000266645,  10.591405452, -10.591174704,  10.591672097, 0, -33, S
2013-09-12 12:13:55.399074, slv, 002215fffe2eecc9(unknown)/01,  0.000266562,  10.591405452, -10.591135094,  10.591672097, 0, -34, D
2013-09-12 12:13:55.946889, slv, 002215fffe2eecc9(unknown)/01,  0.000266562,  10.591371927, -10.591135094,  10.591638489, 0, -34, S
2013-09-12 12:13:56.898365, slv, 002215fffe2eecc9(unknown)/01,  0.000266367,  10.591371927, -10.591136396,  10.591638489, 0, -35, D
2013-09-12 12:13:56.946757, slv, 002215fffe2eecc9(unknown)/01,  0.000266367,  10.591317281, -10.591136396,  10.591583648, 0, -35, S
2013-09-12 12:13:57.586542, slv, 002215fffe2eecc9(unknown)/01,  0.000265612,  10.591317281, -10.591128793,  10.591583648, 0, -36, D
2013-09-12 12:13:57.946809, slv, 002215fffe2eecc9(unknown)/01,  0.000265612,  10.591348360, -10.591128793,  10.591613972, 0, -36, S
2013-09-12 12:13:58.946826, slv, 002215fffe2eecc9(unknown)/01,  0.000265612,  10.591326741, -10.591128793,  10.591592353, 0, -36, S
2013-09-12 12:13:59.336567, slv, 002215fffe2eecc9(unknown)/01,  0.000265093,  10.591326741, -10.591061479,  10.591592353, 0, -37, D
2013-09-12 12:13:59.586409, slv, 002215fffe2eecc9(unknown)/01,  0.000264824,  10.591326741, -10.591103549,  10.591592353, 0, -38, D
2013-09-12 12:13:59.946836, slv, 002215fffe2eecc9(unknown)/01,  0.000264824,  10.591314457, -10.591103549,  10.591579281, 0, -38, S
2013-09-12 12:14:00.946839, slv, 002215fffe2eecc9(unknown)/01,  0.000264824,  10.591330122, -10.591103549,  10.591594946, 0, -38, S
2013-09-12 12:14:00.961524, slv, 002215fffe2eecc9(unknown)/01,  0.000264385,  10.591330122, -10.591092713,  10.591594946, 0, -39, D
2013-09-12 12:14:01.946791, slv, 002215fffe2eecc9(unknown)/01,  0.000264385,  10.591269204, -10.591092713,  10.591533589, 0, -39, S
2013-09-12 12:14:02.149120, slv, 002215fffe2eecc9(unknown)/01,  0.000263872,  10.591269204, -10.591060143,  10.591533589, 0, -40, D
2013-09-12 12:14:02.946796, slv, 002215fffe2eecc9(unknown)/01,  0.000263872,  10.591291505, -10.591060143,  10.591555377, 0, -40, S
2013-09-12 12:14:03.085737, slv, 002215fffe2eecc9(unknown)/01,  0.000263513,  10.591291505, -10.591032126,  10.591555377, 0, -41, D
2013-09-12 12:14:03.946763, slv, 002215fffe2eecc9(unknown)/01,  0.000263513,  10.591239808, -10.591032126,  10.591503321, 0, -41, S
